AKULA Sreeja, 斯丽贾 阿库拉
ALAMIAN Nima, 尼马 阿拉米安
ALAMIYAN Noshad, 诺沙迪 阿拉米扬
AN Jaehyun, 安宰贤
ANDO Minami, 安藤南
APOLONIA Tiago, 蒂亚戈 阿波罗尼亚
ARUNA Quadri, 夸德里 阿鲁纳
ASSAR Omar, 奥马尔 阿萨尔
BAI Yang, 柏杨
BATRA Manika, 玛妮卡 巴特拉
BAUM Patrick, 帕特里克 鲍姆
BOLL Timo, 蒂姆 波尔
BOROS Tamara, 塔玛拉 鲍罗斯
CALDERANO Hugo, 雨果 卡尔德拉诺
CAO Wei, 曹巍
CAO Zhen, 曹臻
CHAN Kazuhiro, 张一博
CHANG Chenchen, 常晨晨
CHE Xiaoxi, 车晓曦
CHEN Chien-An, 陈建安
CHEN Ke, 陈可
CHEN Meng, 陈梦
CHEN Qi, 陈玘
CHEN Szu-Yu, 陈思羽
CHEN Xingtong, 陈幸同
CHEN Yi, 陈熠
CHENG I-Ching, 郑怡静
CHEUNG Yuk, 张钰
CHIANG Peng-Lung, 蒋澎龙
CHIEN Tung-Chuan, 陈沂芊
CHO Daeseong, 赵大成
CHO Seungmin, 赵胜敏
CHOI Hyojoo, 崔孝珠
CHUANG Chih-Yuan, 庄智渊
CRISAN Adrian, 阿德里安 克里桑
DANG Yeseo, 唐汭序
DIAZ Adriana, 阿德里安娜 迪亚兹
DING Ning, 丁宁
DOO Hoi Kem, 杜凯琹
DUDA Benedikt, 贝内迪克特 杜达
DYJAS Jakub, 雅克布 迪亚斯
FALCK Mattias, 马蒂亚斯 法尔克
FAN Shuhan, 范姝涵
FAN Siqi, 范思琦
FAN Ying, 范瑛
FAN Zhendong, 樊振东
FANG Bo, 方博
FEGERL Stefan, 斯特凡 菲格尔
FENG Tianwei, 冯天薇
FENG Yalan, 冯亚兰
FENG Yi-Hsin, 冯翊新
FILUS Ruwen, 卢文 菲鲁斯
FLORE Tristan, 特里斯坦 弗洛雷
FRANZISKA Patrick, 帕特里克 弗朗西斯卡
FREITAS Marcos, 马克斯 弗雷塔斯
FUJII Hiroko, 藤井宽子
FUKUHARA Ai, 福原爱
FUKUOKA Haruna, 福冈春菜
GACINA Andrej, 安德烈 加奇尼
GAO Jun, 高军
GAO Ning, 高宁
GARDOS Robert, 罗伯特 加尔多斯
GAUZY Simon, 西蒙 高兹
GERASSIMENKO Kirill, 基里尔 格拉西缅科
GIONIS Panagiotis, 帕纳吉奥迪斯 吉奥尼斯
GROTH Jonathan, 乔纳森 格罗斯
GU Yuting, 顾玉婷
GUO Yan, 郭焱
GUO Yue, 郭跃
GUO Yuhan, 郭雨涵
HAMAMOTO Yui, 浜本由惟
HAN Feier, 韩菲儿
HAN Ying, 韩莹
HAO Shuai, 郝帅
HARIMOTO Miwa, 张本美和
HARIMOTO Tomokazu, 张本智和
HASHIMOTO Honoka, 桥本帆乃香
HAYATA Hina, 早田希娜
HE Zhuojia, 何卓佳
HIRANO Miu, 平野美宇
HIRANO Sayaka, 平野早矢香
HOU Yingchao, 侯英超
HU Limei, 胡丽梅
HU Melek, 侯美玲
ISHIGAKI Yuka, 石垣优香
ISHIKAWA Kasumi, 石川佳纯
ITO Mima, 伊藤美诚
JANG Woojin, 张禹珍
JEON Jihee, 田志希
JEONG Sangeun, 丁祥恩
JEOUNG Youngsik, 郑荣植
JHA Kanak, 卡纳克 贾哈
JIANG Huajun, 姜华珺
JIANG Tianyi, 江天一
JIN Takuya, 神巧也
JOO Cheonhui, 朱芊曦
JOO Saehyuk, 朱世赫
JORGIC Darko, 达科 约奇克
KALLBERG Anton, 安东 卡尔伯格
KALLBERG Christina, 克里斯蒂娜 卡尔伯格
KANAMITSU Koyo, 金光宏畅
KAO Cheng-Jui, 高承睿
KARLSSON Kristian, 克里斯坦 卡尔松
KATO Miyu, 加藤美优
KIHARA Miyuu, 木原美悠
KIM Hayeong, 金河英
KIM Hyang Mi, 金香美
KIM Hyon Hui, 金英姬
KIM Kyungah, 金景娥
KIM Kyungah, 金景娥
KIM Minseok, 金珉锡
KIM Nayeong, 金娜英
KIM Song I, 金宋依
KISHIKAWA Seiya, 岸川圣也
KIZUKURI Yuto, 木造勇人
KO Lai Chak, 高礼泽
KONG Linghui, 孔令辉
KREANGA Kalinikos, 卡林尼科斯 格林卡
KUAI Man, 蒯曼
LAU Sui Fei, 柳絮飞
LEBESSON Emmanuel, 艾曼纽 莱贝松
LEBRUN Alexis, 艾利克斯 勒布伦
LEBRUN Felix, 菲利克斯 勒布伦
LEE Eunhye, 李恩惠
LEE Eunsil, 李恩实
LEE Ho Ching, 李皓晴
LEE Jungwoo, 李廷佑
LEE Sang Su, 李尚洙
LEE Zion, 李时温
LI Ching, 李静
LI Fen, 李芬
LI Jiao, 李佼
LI Jiawei, 李佳薇
LI Jiayi, 李佳燚
LI Jie, 李洁
LI Ju, 李菊
LI Qian, 李倩
LI Xiaodan, 李晓丹
LI Xiaoxia, 李晓霞
LI Yake, 李雅可
LI Yu-Jhun, 李昱谆
LIANG Jingkun, 梁靖崑
LIANG Yanning, 梁俨苧
LIAO Cheng-Ting, 廖振珽
LIM Jonghoon, 林钟勋
LIN Gaoyuan, 林高远
LIN Ling, 林菱
LIN Shidong, 林诗栋
LIN Yun-Ju, 林昀儒
LIND Anders, 安德斯 林德
LIU Dingshuo, 刘丁硕
LIU Fei, 刘斐
LIU Gaoyang, 刘高阳
LIU Guozheng, 刘国正
LIU Jia, 刘佳
LIU Shiwen, 刘诗雯
LIU Weishan, 刘炜珊
LIU Yangzi, 刘杨子
Li Ju, 李菊
MA Lin, 马琳
MA Long, 马龙
MA Te, 马特
MA Wenge, 马文革
MATSUDAIRA Kenta, 松平健太
MATSUSHIMA Sora, 松岛辉空
MAZE Michael, 米凯尔 梅兹
MENGEL Steffen, 斯蒂芬 门格尔
MESHREF Dina, 蒂娜 梅谢芙
MITTELHAM Nina, 妮娜 米特兰姆
MIZUTANI Jun, 水谷隼
MOON Hyunjung, 文炫晶
MOREGARD Truls, 特鲁斯 莫雷加德
MORI Sakura, 森樱
MORIZONO Masataka, 森园政崇
MORIZONO Misaki, 森田美咲
MU Zi, 木子
MUKHERJEE Ayhika, 艾希卡 穆克吉
MUKHERJEE Sutirtha, 苏蒂尔塔 穆克吉
MURAMATSU Yuto, 村松雄斗
NAGASAKI Miyu, 长崎美柚
NG Wing Lam, 吴咏琳
NI Xia Lian, 倪夏莲
NIU Guankai, 牛冠凯
NIU Jianfeng, 牛剑锋
NIWA Koki, 丹羽孝希
ODO Satsuki, 大藤沙月
OH Junsung, 吴晙诚
OH Sangeun, 吴尚垠
OIKAWA Mizuki, 及川瑞基
OJIO Haruna, 小盐遥菜
OSHIMA Yuya, 大岛祐哉
OVTCHAROV Dimitrij, 迪米特里 奥恰洛夫
PAK Sin Hyok, 朴申赫
PARK Miyoung, 朴美英
PAVADE Prithika, 普利西卡 帕瓦德
PAVLOVICH Viktoria, 维多利亚 帕芙洛维奇
PENG Luyang, 彭陆洋
PERSSON Jorgen, 约尔根 佩尔森
PITCHFORD Liam, 利亚姆 皮切福德
POLCANOVA Sofia, 索菲亚 波尔卡诺娃
PYON Song Gyong, 边宋京
QI Fei, 齐菲
QIAN Tianyi, 钱天一
QIN Yuxuan, 覃予萱
QIN Zhijian, 秦志戬
QIU Dang, 邱党
QIU Yike, 邱贻可
RI Myong Sun, 李明顺
RYU Seungmin, 柳承敏
SAIVE Jean-Michel, 让 米歇尔 赛弗
SAMARA Elizabeta, 伊丽莎白 萨玛拉
SAMSONOV Vladimir, 弗拉基米尔 萨姆索诺夫
SASAO Asuka, 笹尾明日香
SATO Hitomi, 佐藤瞳
SCHLAGER Werner, 维尔纳 施拉格
SEOK Hajung, 石贺净
SHAN Xiaona, 单晓娜
SHANG Kun, 尚坤
SHAO Jieni, 邵杰妮
SHEN Yanfei, 沈燕飞
SHI Xunyao, 石洵瑶
SHIBATA Saki, 芝田沙季
SHIN Yubin, 申裕斌
SHINOZUKA Hiroto, 篠塚大登
SHIONO Masato, 塩野真人
SOLJA Petrissa, 佩特丽莎 索尔佳
SONG Ah Sim, 桑亚婵
STEFF Mihaela, 米哈拉 斯蒂芙
